#GeneSymbol	Categories
AMMECR1	periphery
MCF2L	periphery
GNG10	periphery
HSPA9	periphery
ADRA1A	periphery
HNRNPD	periphery
RALGPS1	periphery
KIR3DS1	periphery
NLRP2	periphery
RPS4Y1	periphery
CACNA2D2	periphery
MCM5	periphery
SF3B1	periphery
MCM3AP	periphery
MICAL3	periphery
KIR2DS1	periphery
BRAP	periphery
MANSC1	periphery
DYNC1LI2	periphery
PAX3	periphery
TIMM50	periphery
SPTB	periphery
PDLIM4	periphery
INPP4A	periphery
HP1BP3	periphery
DNAJB12	periphery
TMEM63A	periphery
HIST1H2BC	periphery
MPP6	periphery
EIF4A1	periphery
MDM2	periphery
TAGLN2	periphery
EZH1	periphery
JUN	periphery
GRB14	periphery
WBP2	periphery
FUT8	periphery
GUCY1B3	periphery
MBOAT7	periphery
TAF6L	periphery
FBXO11	periphery
SLC15A3	periphery
RBM25	periphery
MIA	periphery
MGEA5	periphery
KIR2DS5	periphery
PDE2A	periphery
PI3	periphery
SMN2	periphery
CAV1	periphery
TAF1B	periphery
PRKCZ	periphery
GPATCH1	periphery
NCK1	periphery
SCTR	periphery
TIMP1	periphery
PDE5A	periphery
SFPQ	periphery
RIOK2	periphery
KDM2A	periphery
GDPD5	periphery
A4GALT	periphery
CA2	periphery
NIPBL	periphery
TMEM223	periphery
ARIH2	periphery
HSF2	periphery
ORC3	periphery
HMGXB4	periphery
GAS2L1	periphery
IL1RAP	periphery
ZNF444	periphery
CRIP2	periphery
PLK2	periphery
HIST1H3H	periphery
WDR33	periphery
GFI1	periphery
CR1	periphery
SYP	periphery
RPS6KB1	periphery
FASTK	periphery
KIFAP3	periphery
TIE1	periphery
TCEA2	periphery
PABPN1	periphery
RASSF4	periphery
CYP1A1	periphery
PLEKHF1	periphery
GPRASP1	periphery
PAN2	periphery
IL1R2	periphery
PLCG1	periphery
HIST1H3G	periphery
TBCE	periphery
HOXA10	periphery
EPB42	periphery
LAMB3	periphery
CHI3L1	periphery
RBM41	periphery
NPM1	periphery
PPM1A	periphery
CHD9	periphery
ALOX12	periphery
NFKB2	periphery
SEC31B	periphery
DDX24	periphery
PBX1	periphery
HEATR6	periphery
HEXIM1	periphery
TXNIP	periphery
CTTN	periphery
ANXA6	periphery
DENND2D	periphery
PDLIM5	periphery
HIST1H2BN	periphery
RHOT2	periphery
MAOA	periphery
FAM129A	periphery
SDPR	periphery
MRPL4	periphery
PRKAR2B	periphery
ATRX	periphery
HIST2H4B	periphery
DSC2	periphery
EDNRB	periphery
FKBP8	periphery
REPS2	periphery
PTGS1	periphery
CCND1	periphery
GATA3	periphery
ADD3	periphery
RUFY1	periphery
CCNL2	periphery
DNAJB4	periphery
WASF3	periphery
PHACTR2	periphery
HEXA	periphery
PNN	periphery
BCAT1	periphery
TMCC2	periphery
WBP4	periphery
RPLP2	periphery
MME	periphery
HOXD11	periphery
PDCD6	periphery
DHX9	periphery
CLUAP1	periphery
RRP9	periphery
ZNF771	periphery
METTL2B	periphery
TNPO2	periphery
TRA2B	periphery
CAV2	periphery
ALG13	periphery
BASP1	periphery
PIK3C2B	periphery
LEPROT	periphery
NMT2	periphery
SGK1	periphery
NDN	periphery
ATXN2L	periphery
F3	periphery
WDR48	periphery
CDK6	periphery
URB2	periphery
TNPO3	periphery
ITGB5	periphery
HIST1H2BI	periphery
PLEKHA1	periphery
ATP13A3	periphery
PGLYRP1	periphery
TFPI	periphery
PDE6D	periphery
SPATA5L1	periphery
TWF1	periphery
SGSM3	periphery
SYNE1	periphery
PLK4	periphery
HIST1H2BE	periphery
TRAK1	periphery
LIMS1	periphery
COL6A1	periphery
SON	periphery
ARFRP1	periphery
EGFL8	periphery
EPB41L3	periphery
ACTR5	periphery
EXO1	periphery
TRAF3IP3	periphery
MINK1	periphery
